Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Variant Price,Cost per item,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Image Src
713-aseel-vegetable-ghee-2-x-500g,Aseel Vegetable Ghee 2 X 500g,Vegetable Ghee Original Taste,Fakhr Al Shaeb,Grocery,"Oil,Vinegar",TRUE,14.25,11.40,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/aseel-ghee-500g-x2.jpg
714-aseel-vegetable-ghee-4kg600g-free,Aseel Vegetable Ghee 4kg+600g free,Vegetable Ghee Original Taste,Fakhr Al Shaeb,Grocery,"Oil,Vinegar",TRUE,64.25,51.30,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/aseel-veg-ghee-4kg.jpg
714-aseel-vegetable-ghee-4kg600g-free,,,,,,,,,,,,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/aseel-veg-ghee-4kg-2.jpg
716-daily-fresh-olive-oil-500ml,Daily Fresh Olive Oil 500ml,,Fakhr Al Shaeb,Grocery,"Oil,Vinegar",TRUE,12.50,9.97,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/04/df-olive-oil-500ml.jpg
717-real-value-white-vinegar-473ml,Real Value White Vinegar 473ml,Best Price Ever,Fakhr Al Shaeb,Grocery,"Oil,Vinegar",TRUE,1.20,0.95,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/rv-white-vinegar-473-1.jpg
717-real-value-white-vinegar-473ml,,,,,,,,,,,,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/rv-white-vinegar-473-2.jpg
718-amul-pure-ghee-1ltr,Amul Pure Ghee 1Ltr,,Fakhr Al Shaeb,Grocery,"Oil,Vinegar",TRUE,39.25,31.35,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/AMUL-PURE-GHEE-1-LTR.jpg
718-amul-pure-ghee-1ltr,,,,,,,,,,,,https://www.fakheralshaab.ae/wp-content/uploads/2020/02/AMUL-PURE-GHEE-2.jpg
719-eastern-fish-masala-165g,Eastern Fish Masala 165g,Brand : Eastern,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,6.75,5.22,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/03/Eastern-Fish-Masala-165gm-800x800-2.jpg
723-mtc-organic-dried-thyme--zatar--450g-bottle,MTC Organic Dried Thyme ( Zatar ) 450g Bottle,,Fakhr Al Shaeb,Grocery,"Pulses,Spices & Herbs,Cooking Item",TRUE,59.50,47.50,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/05/zatar-450g.jpg
