Handle,Title,Body (HTML),Vendor,Product Type,Tags,Published,Variant Price,Cost per item,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Image Src
494-ulker-cubuk-kraker,ULKER CUBUK KRAKER,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,24.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/71ozQU6XnQL._AC_UF8941000_QL80_.jpg
495-ulker-coffee-biscuit-x-12-pcs,ULKER COFFEE BISCUIT X 12 PCS,,Fakhr Al Shaeb,Grocery,"Biscuits,Kids",TRUE,18.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/12548.png
496-loacker-classic-napolitaner-450-g,Loacker Classic Napolitaner 450 g,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,24.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/02/281357-01-removebg-preview.png
497-loacker-gardena-190-g,Loacker Gardena 190 g,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,15.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/02/Gardena_Hazelnut_190g_RM-01-removebg-preview.png
499-sando-chocolate-wafer-32g-x-pack-of-24,Sando Chocolate Wafer 32g x Pack of 24,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,22.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/01/Sando-chocolate.png
500-bounty-chocolate-box-24-x-57-grams,Bounty chocolate box 24 x 57 grams,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,45.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2020/10/bounti-new.jpg
498-loacker-vanilla-175-g-x-18-pcs--cartoon-,Loacker Vanilla 175 g X 18 pcs   { CARTOON },Cartoon With Wholesale Price…,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,205.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2021/01/loacker-vanila-ctn.jpg
501-snicker-chocolate-50g-x-24-pack,SNICKER CHOCOLATE 50G x 24 PACK,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,45.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/01/Snicker-Chocolate.png
503-galaxy-smooth-milk-chocolate-bar-36gm-x-24-bars,Galaxy Smooth Milk Chocolate Bar 36gm x 24 bars,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,65.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/01/Galaxy-chocolate.png
504-ulker-cokokrem-cocoa-spread-with-hazelnuts-40-gram,ULKER COKOKREM COCOA SPREAD WITH HAZELNUTS 40 GRAM,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,2.75,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/8690504005155.jpg
502-apollo-chocolate-peanut,APOLLO CHOCOLATE PEANUT,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,21.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/1329481463317029561_528306668935121_4136689340304169207_n.jpg
505-loacker-napolitaner-175g,Loacker Napolitaner 175g,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,11.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2021/01/loacker-napolitaner-1.jpg
506-loacker-vanilla-175g,Loacker Vanilla 175g,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,11.50,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2021/01/loacker-vanila-pcs.jpg
508-twix-chocolate-25-x-50-gram,TWIX CHOCOLATE 25 X 50 GRAM,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,45.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/TWIX.png
507-oryx-maamoul-date-filled-cookies,ORYX MAAMOUL DATE FILLED COOKIES,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,6.45,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/611-RV8fuTL._AC_SL1200_.jpg
509-choki-choki-12-packets,CHOKI CHOKI 12 PACKETS,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,27.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/61pxfCJ8wLL.jpg
511-kit-kat-chocalate-24x415-gm,KIT KAT CHOCALATE 24X41.5 GM,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,40.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2022/12/KIT-KAT-CHOCALATE.jpg
512-loacker-minis-cremkakao-15-pack,LOACKER MINIS CREMKAKAO 15 PACK,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,17.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/FF454.png
510-coco-layn-coconut-bar,COCO LAYN COCONUT BAR,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,3.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/145.jpg
513-kinder-maxi-chocolate,KINDER MAXI CHOCOLATE,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,39.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/5DS.png
516-koukou-roukou-wafer-with-cocoa-cream-filling-and-coating,KOUKOU ROUKOU WAFER WITH COCOA CREAM FILLING AND COATING,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,22.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/15.png
517-astor-wafer-stick-cokelat-12-packets,ASTOR WAFER STICK COKELAT 12 PACKETS,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,18.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/img_2935224762124725750_8886001026056_1_L.jpg
518-astor-mini-stick-24-packets,ASTOR MINI STICK 24 PACKETS,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,20.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/516nDI6SreL._AC_.jpg
519-astor-wafer-stick-cokelat-330-gram,ASTOR WAFER STICK COKELAT 330 GRAM,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,24.95,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/6.png
520-ulker-cokokrem-cocoa-spread-with-hazelnuts-24-tubes,ULKER COKOKREM COCOA SPREAD WITH HAZELNUTS 24 TUBES,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,60.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/ulker-cokokrem-cocoa-spread-with-hazel-8-bb93.png
521-maltesers-chocolate-chips-25-packet,MALTESERS CHOCOLATE CHIPS 25 PACKET,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,0.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/711XmSSMoL._AC_SL1500_.jpg
522-kinder-creamy-19-gram-x-24-pack,KINDER CREAMY 19 GRAM X 24 PACK,,Fakhr Al Shaeb,Grocery,"Chocolates,Biscuits,Kids",TRUE,47.00,,shopify,50,deny,https://www.fakheralshaab.ae/wp-content/uploads/2025/02/71-uh7nCCAL.jpg
